Model,Accuracy,Precision,Recall,F1-Score,CV F1 (mean),CV F1 (std)
Logistic Regression,0.9948,0.9956,0.9948,0.9947,0.9923,0.0084
Random Forest,0.9948,0.9954,0.9948,0.9948,0.9948,0.0035
